prov,price,url,postcode,description,street_name,furnishing,image,period_unit,origin_url,location,property_type,property_status,bedroom_number_raw
oxlets.26,895.00,index.php?act=viewProd&productId=84,OX28 5FX,AVAILABILITYAVAILABLE 14TH FEB 2014,Painswick Close,FURNISHED,/images/uploads/thumbs/thumb_SAM_1360.JPG,pcm,http://www.oxlets.com/index.php?page=3&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Painswick Close, OX28 5FX",3 bed detached house in Witney,AVAILABLE 14TH FEB 2014,3 bed detached house in Witney
oxlets.27,895.00,index.php?act=viewProd&productId=84,OX28 5FX,AVAILABILITYAVAILABLE 14TH FEB 2014,Painswick Close,FURNISHED,/images/uploads/thumbs/thumb_SAM_1360.JPG,pcm,http://www.oxlets.com/index.php?page=3&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Painswick Close, OX28 5FX",3 bed detached house in Witney,AVAILABLE 14TH FEB 2014,3
oxlets.28,675.00,index.php?act=viewProd&productId=79,OX18 3GH,AVAILABILITYAVAILABLE APRIL 2014,,FURNISHED,/images/uploads/thumbs/thumb_24_Larches_front.JPG,pcm,http://www.oxlets.com/index.php?page=3&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"The Larches, OX18 3GH",2 bed flat to rent in Carterton,AVAILABLE APRIL 2014,2
oxlets.29,1350.00,index.php?act=viewProd&productId=70,OX28 3SW,AVAILABILITYLET & MANAGED!!,,FURNISHED,/images/uploads/thumbs/thumb_hollis_front.JPG,pcm,http://www.oxlets.com/index.php?page=4&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Hollis Close, Cogges, Witney, OX28 3SW",4 bed detached house to rent in Witney,LET & MANAGED!!,4 bed detached house to rent in Witney
oxlets.30,695.00,index.php?act=viewProd&productId=82,OX28 4TQ,AVAILABILITYUnder offer in just 4 days!!,,FURNISHED,/images/uploads/thumbs/thumb_lakeside_lounge_1.JPG,pcm,http://www.oxlets.com/index.php?page=4&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Lakeside, Witney, OX28 4TQ",2 bed apartment to rent in Witney,Under offer in just 4 days!!,2 bed apartment to rent in Witney
oxlets.31,840.00,index.php?act=viewProd&productId=72,OX28 3SR,AVAILABILITYNOW LET!!,Manor Road,FURNISHED,/images/uploads/thumbs/thumb_DSCF6895.JPG,pcm,http://www.oxlets.com/index.php?page=4&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Manor Road, Witney, OX28 3SR",2 bed semi detached house,NOW LET!!,2 bed semi detached house
oxlets.32,775.00,index.php?act=viewProd&productId=73,OX28 5FG,AVAILABILITYGONE!!,,FURNISHED,/images/uploads/thumbs/thumb_riss_front_1.JPG,pcm,http://www.oxlets.com/index.php?page=4&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Rissington Drive, Witney, OX28 5FG",2 bed terraced house,GONE!!,2 bed terraced house
oxlets.33,675.00,index.php?act=viewProd&productId=79,OX18 3GH,AVAILABILITYLET!!,,FURNISHED,/images/uploads/thumbs/thumb_24_Larches_front.JPG,pcm,http://www.oxlets.com/index.php?page=4&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"The Larches, OX18 3GH",2 bed flat to rent in Carterton,LET!!,2 bed flat to rent in Carterton
oxlets.34,800.00,index.php?act=viewProd&productId=76,OX28 1BF,AVAILABILITYLET AGAIN !!,,FURNISHED,/images/uploads/thumbs/thumb_SAM_0115.JPG,pcm,http://www.oxlets.com/index.php?page=4&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Woodley Green, OX28 1BF",2 double bed apartment to rent in Witney,LET AGAIN !!,2 double bed apartment to rent in Witney
oxlets.35,875.00,index.php?act=viewProd&productId=59,OX18 1DF,AVAILABILITYLET AGREED!,,FURNISHED,/images/uploads/thumbs/thumb_Brizewood_front.JPG,pcm,http://www.oxlets.com/index.php?page=5&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Brizewood, CARTERTON, OX18 1DF",Generous 3 bedroom family home for rent,LET AGREED!,3
oxlets.36,650.00,index.php?act=viewProd&productId=54,OX28 6BS,AVAILABILITYGONE AGAIN in just 3 days,Corn Street,FURNISHED,/images/uploads/thumbs/thumb_lils_front.JPG,pcm,http://www.oxlets.com/index.php?page=5&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Corn Street, OX28 6BS",2 double bed period flat to rent in Witney,GONE AGAIN in just 3 days,2
oxlets.37,695.00,index.php?act=viewProd&productId=53,OX28 6GA,AVAILABILITYLET AGREED,Corn Street,FURNISHED,/images/uploads/thumbs/thumb_DSCF3375.JPG,pcm,http://www.oxlets.com/index.php?page=5&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Corn Street, OX28 6GA",2 bed flat to rent in Witney,LET AGREED,2
oxlets.38,750.00,index.php?act=viewProd&productId=60,OX7 5PT,AVAILABILITYNOW LET,The Green,FURNISHED,/images/uploads/thumbs/thumb_the_green_front_1.JPG,pcm,http://www.oxlets.com/index.php?page=5&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"The Green, OVER NORTON, OX7 5PT",3 bed period townhouse to rent in Over Norton,NOW LET,3
oxlets.39,895.00,index.php?act=viewProd&productId=63,OX28 6DE,AVAILABILITYLET,Woodford Mill,FURNISHED,/images/uploads/thumbs/thumb_Woodford_front_2.JPG,pcm,http://www.oxlets.com/index.php?page=5&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Woodford Mill, OX28 6DE",Luxury 2 double bed apartment in Witney,LET,2
oxlets.40,875.00,index.php?act=viewProd&productId=49,OX29 7RA,AVAILABILITYUNDER OFFER,Woodlands,FURNISHED,/images/uploads/thumbs/thumb_woodlands_front.JPG,pcm,http://www.oxlets.com/index.php?page=5&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Woodlands, Standlake Nr Witney, OX29 7RA",3 bedroom house to rent in Standlake,UNDER OFFER,3
oxlets.41,695.00,index.php?act=viewProd&productId=53,OX28 6GA,AVAILABILITYLET AGREED,Corn Street,FURNISHED,/images/uploads/thumbs/thumb_DSCF3375.JPG,pcm,http://www.oxlets.com/index.php?page=6&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Corn Street, OX28 6GA",2 bed flat to rent in Witney,LET AGREED,2 bed flat to rent in Witney
oxlets.42,875.00,index.php?act=viewProd&productId=49,OX29 7RA,AVAILABILITYUNDER OFFER,Woodlands,FURNISHED,/images/uploads/thumbs/thumb_woodlands_front.JPG,pcm,http://www.oxlets.com/index.php?page=6&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Woodlands, Standlake Nr Witney, OX29 7RA",3 bedroom house to rent in Standlake,UNDER OFFER,3 bedroom house to rent in Standlake
oxlets.43,725.00,index.php?act=viewProd&productId=106,OX18 1TQ,AVAILABILITYLET AGREED!,Bracken Close,FURNISHED,/images/uploads/thumbs/thumb_66_Bracken_front_2.jpg,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Bracken Close, OX18 1TQ",2 bed house to rent in Carterton,LET AGREED!,2
oxlets.44,895.00,index.php?act=viewProd&productId=113,OX28 4AT,AVAILABILITYNOW UNDER OFFER!!,,FURNISHED,/images/uploads/thumbs/thumb_DSCN6034_(960x1280).jpg,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"BUTTERCROSS DEVELOPMENT, OX28 4AT",2 bed house to rent in Witney,NOW UNDER OFFER!!,2 bed house to rent in Witney
oxlets.45,1250.00,index.php?act=viewProd&productId=110,OX29 7QE,AVAILABILITYNOW LET!,,FURNISHED,/images/uploads/thumbs/thumb_LYDELLS_FRONT.jpg,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Hardwick Village, OX29 7QE",Delightful 3 bedroom detached house,NOW LET!,Delightful 3 bedroom detached house
oxlets.46,1250.00,index.php?act=viewProd&productId=110,OX29 7QE,AVAILABILITYMid-February 2014,,FURNISHED,/images/uploads/thumbs/thumb_LYDELLS_FRONT.jpg,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Hardwick Village, OX29 7QE",Delightful 3 bedroom detached house,Mid-February 2014,3
oxlets.47,645.00,index.php?act=viewProd&productId=105,OX18 1TF,AVAILABILITYLET AGREED!,Heather Close,FURNISHED,/images/uploads/thumbs/thumb_15_Heather_lounge_1.jpg,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Heather Close, OX18 1TF",1 bedroom house to rent in Carterton,LET AGREED!,1
oxlets.48,1400.00,index.php?act=viewProd&productId=107,OX29 7TA,AVAILABILITYLET AGREED!,Heyford Close,FURNISHED,/images/uploads/thumbs/thumb_30527_1354HED1_IMG_00_0000_max_135x100.jpg,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Heyford Close, Standlake, OX29 7TA",4 double bedroom house to rent,LET AGREED!,4
oxlets.49,725.00,index.php?act=viewProd&productId=112,OX18 2JJ,AVAILABILITYAVAILABLE NOW,,FURNISHED,/images/uploads/thumbs/thumb_DSCN5976_(1280x960).jpg,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Market Square, Bampton, OX18 2JJ",2 bed flat to rent in Bampton,AVAILABLE NOW,2 bed flat to rent in Bampton
oxlets.50,895.00,index.php?act=viewProd&productId=108,OX28 5FX,AVAILABILITYWITHDRAWN UNTIL FURTHER NOTICE,Painswick Close,FURNISHED,/images/uploads/thumbs/thumb_SAM_1360.JPG,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Painswick Close, OX28 5FX",3 bed detached house to rent in Witney,WITHDRAWN UNTIL FURTHER NOTICE,3
oxlets.51,1050.00,index.php?act=viewProd&productId=111,OX28 1EY,AVAILABILITYApril 2014,,FURNISHED,/images/uploads/thumbs/thumb_44_PINE_FRONT_1.jpg,pcm,http://www.oxlets.com/index.php?search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Pine Rise, OX28 1EY",4 bedroom house to rent in Witney,LET AGREED,4